                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7421,                 3.6963,                  1.458,                  0.464,                0.68278,                 0.5292,                0.34884,                 1.0569,                 5.1597,                 1.1119,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.1533,                  1.354,                 1.0924,                0.63998,                0.70973,                0.69129,                0.45616,                 1.0801,                 2.0422,                 1.1326,             0.00038214,             0.00038214,             0.00038214
                      3,                 1.1349,                 1.2208,                 1.0894,                0.75889,                0.77339,                0.79531,                0.53796,                 1.1055,                 1.4194,                 1.1785,              0.0005796,              0.0005796,              0.0005796
                      4,                 1.1849,                 1.1483,                 1.1629,                0.41184,                0.69816,                0.41537,                0.26354,                 1.1773,                 3.4731,                 1.2686,             0.00077573,             0.00077573,             0.00077573
                      5,                 1.0414,                 1.0027,                 1.0885,                0.70103,                 0.6201,                 0.6767,                0.47239,                 1.1435,                 1.5031,                 1.2965,             0.00097055,             0.00097055,             0.00097055
                      6,                 1.0466,                0.96172,                 1.0944,                0.50675,                 0.6621,                0.49938,                0.33973,                 1.1379,                  2.219,                 1.2878,               0.001164,               0.001164,               0.001164
                      7,                 1.0648,                0.95581,                 1.1142,                0.66114,                  0.532,                  0.547,                0.37167,                 1.2477,                 1.7323,                 1.3715,              0.0013562,              0.0013562,              0.0013562
                      8,                 1.0593,                0.95629,                 1.0991,                0.77348,                0.75458,                 0.7924,                0.53461,                 1.1121,                 1.1139,                 1.2239,              0.0015471,              0.0015471,              0.0015471
                      9,                 1.0606,                0.90835,                 1.0859,                0.75576,                0.80069,                 0.8339,                0.56259,                 1.1038,                0.93872,                 1.1857,               0.001623,               0.001623,               0.001623
                     10,                 1.0132,                0.82683,                 1.0754,                0.80089,                0.82597,                0.84685,                 0.5806,                 1.0895,                0.89448,                 1.1999,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.0076,                0.82673,                 1.0656,                0.72938,                0.80385,                0.78189,                0.53029,                 1.0695,                 1.0249,                 1.1471,               0.001612,               0.001612,               0.001612
                     12,                0.97353,                0.80618,                  1.049,                0.68736,                0.76263,                0.70403,                0.46276,                 1.1186,                 1.4357,                 1.2357,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.0274,                0.84071,                  1.086,                0.84267,                0.71086,                0.78175,                0.52559,                 1.1838,                0.98571,                 1.2569,               0.001601,               0.001601,               0.001601
                     14,                 1.0492,                0.82494,                 1.1089,                0.80897,                0.84374,                0.85764,                0.58022,                 1.1535,                0.84724,                 1.2838,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.0972,                 0.8546,                 1.1343,                0.80744,                 0.8098,                0.84781,                0.57268,                  1.102,                0.88037,                 1.2001,                0.00159,                0.00159,                0.00159
                     16,                 1.0063,                0.83177,                 1.0855,                0.80664,                0.81657,                0.82644,                0.57318,                   1.05,                0.94277,                 1.2078,              0.0015845,              0.0015845,              0.0015845
                     17,                 1.0016,                0.78294,                  1.098,                0.79709,                0.77307,                0.83544,                0.57471,                 1.0694,                 1.0495,                 1.1977,               0.001579,               0.001579,               0.001579
                     18,                0.98763,                0.81429,                 1.0657,                0.76457,                0.84333,                0.84944,                0.61073,                  1.029,                0.84251,                 1.2147,              0.0015735,              0.0015735,              0.0015735
                     19,                 1.0209,                0.83933,                  1.084,                0.80841,                0.81539,                0.85703,                0.61725,                 1.0422,                0.85667,                 1.1697,               0.001568,               0.001568,               0.001568
                     20,                 0.9532,                0.79775,                 1.0337,                 0.7435,                0.78092,                0.84568,                0.58617,                 1.0644,                 1.0714,                 1.1882,              0.0015625,              0.0015625,              0.0015625
                     21,                 0.9709,                 0.8012,                 1.0773,                0.77605,                0.82408,                0.83869,                0.60602,                 1.0069,                0.87537,                 1.1666,               0.001557,               0.001557,               0.001557
                     22,                 0.9237,                0.72618,                  1.037,                0.83335,                0.82405,                0.87285,                0.60705,                 1.0805,                0.78361,                 1.2197,              0.0015515,              0.0015515,              0.0015515
                     23,                0.92496,                0.69962,                  1.043,                0.81833,                0.83753,                  0.875,                0.62024,                 1.0642,                0.80908,                  1.192,               0.001546,               0.001546,               0.001546
                     24,                0.94968,                0.74152,                 1.0489,                0.79653,                 0.8565,                0.85444,                0.59476,                  1.059,                0.80774,                 1.2028,              0.0015405,              0.0015405,              0.0015405
                     25,                0.98165,                0.71675,                 1.0817,                0.85788,                0.82081,                0.85112,                0.59485,                 1.0668,                0.81422,                 1.1839,               0.001535,               0.001535,               0.001535
                     26,                 0.9412,                0.71642,                 1.0469,                0.79514,                0.88136,                0.88599,                0.61882,                 1.0291,                0.74408,                 1.1705,              0.0015295,              0.0015295,              0.0015295
                     27,                0.99182,                0.72922,                 1.0807,                0.82286,                0.87422,                0.87435,                 0.6129,                 1.0724,                0.77113,                 1.1746,               0.001524,               0.001524,               0.001524
                     28,                0.96645,                0.71072,                  1.082,                0.86895,                0.86122,                0.88965,                0.63282,                 1.0655,                0.75834,                 1.2055,              0.0015185,              0.0015185,              0.0015185
                     29,                0.93701,                0.68083,                 1.0476,                0.83319,                0.81484,                 0.8406,                 0.5859,                 1.1122,                0.77824,                  1.282,               0.001513,               0.001513,               0.001513
                     30,                0.93629,                0.69328,                 1.0682,                0.82989,                0.82387,                0.86856,                0.62273,                 1.0185,                0.78541,                 1.1906,              0.0015075,              0.0015075,              0.0015075
                     31,                0.96443,                0.68854,                 1.0776,                0.81933,                0.88746,                0.89322,                0.63239,                 1.0371,                0.72254,                 1.2057,               0.001502,               0.001502,               0.001502
                     32,                0.87086,                 0.6076,                 1.0032,                0.85755,                0.88546,                0.90084,                0.64892,                 1.0172,                0.69206,                 1.1844,              0.0014965,              0.0014965,              0.0014965
                     33,                 0.8918,                0.63289,                 1.0357,                0.84149,                0.89244,                0.90541,                0.64105,                 1.0287,                0.67591,                 1.1814,               0.001491,               0.001491,               0.001491
                     34,                0.91785,                0.68028,                 1.0555,                0.81135,                0.87632,                0.87541,                0.63297,                 1.0231,                0.70162,                 1.2136,              0.0014855,              0.0014855,              0.0014855
                     35,                 0.9297,                 0.6723,                 1.0507,                0.79847,                0.85855,                 0.8698,                0.61191,                  1.047,                 0.7344,                 1.1956,                0.00148,                0.00148,                0.00148
                     36,                0.90945,                0.67424,                 1.0438,                0.85618,                0.82407,                0.87859,                0.64548,                0.98758,                0.71841,                  1.198,              0.0014745,              0.0014745,              0.0014745
                     37,                0.89467,                0.63072,                 1.0214,                0.83795,                0.86264,                0.86711,                0.64127,                0.97168,                0.71862,                 1.1675,               0.001469,               0.001469,               0.001469
                     38,                0.88688,                0.62479,                 1.0192,                0.82367,                0.86555,                  0.869,                0.61996,                 1.0386,                0.75356,                 1.1998,              0.0014635,              0.0014635,              0.0014635
                     39,                0.88157,                0.62404,                 1.0333,                 0.7892,                0.80639,                0.83715,                 0.6007,                  1.051,                0.83668,                 1.2281,               0.001458,               0.001458,               0.001458
                     40,                0.85806,                0.62631,                 1.0032,                0.84783,                0.87408,                0.88676,                0.64381,                 0.9868,                0.69794,                 1.1881,              0.0014525,              0.0014525,              0.0014525
                     41,                0.81807,                0.58101,                0.98764,                0.83738,                  0.833,                0.87468,                0.64586,                0.99421,                0.76897,                 1.1861,               0.001447,               0.001447,               0.001447
                     42,                0.88128,                0.60937,                 1.0231,                0.83154,                0.84289,                   0.88,                0.63932,                 1.0223,                0.71779,                 1.2034,              0.0014415,              0.0014415,              0.0014415
                     43,                0.86974,                 0.6274,                  1.029,                 0.7856,                 0.8195,                0.85271,                0.60006,                 1.1155,                0.79478,                 1.2424,               0.001436,               0.001436,               0.001436
                     44,                0.85695,                0.60781,                  1.017,                0.84375,                 0.8438,                 0.8736,                0.63581,                0.99976,                0.77985,                 1.2023,              0.0014305,              0.0014305,              0.0014305
                     45,                0.83314,                0.61546,                0.99339,                0.83798,                0.87077,                0.89251,                 0.6515,                 1.0038,                0.69275,                 1.1877,               0.001425,               0.001425,               0.001425
                     46,                0.87653,                0.61172,                 1.0346,                0.86062,                 0.8595,                0.89707,                0.63976,                 1.0361,                0.68506,                 1.2119,              0.0014195,              0.0014195,              0.0014195
                     47,                0.84815,                0.57562,                0.99289,                0.80189,                0.88546,                0.88029,                0.61351,                  1.101,                0.72095,                 1.2338,              0.0014139,              0.0014139,              0.0014139
                     48,                0.87134,                0.60139,                 1.0164,                0.84861,                0.84212,                0.88853,                0.63376,                 1.0755,                0.76057,                 1.2187,              0.0014084,              0.0014084,              0.0014084
                     49,                0.82749,                0.60729,                0.99101,                0.80488,                0.79463,                0.80867,                0.55482,                  1.121,                0.96246,                  1.254,              0.0014029,              0.0014029,              0.0014029
                     50,                0.81901,                0.55852,                0.97895,                0.76348,                0.67779,                0.74407,                 0.5149,                 1.1756,                 1.4536,                 1.2815,              0.0013974,              0.0013974,              0.0013974
                     51,                0.83156,                0.59385,                0.99918,                0.86122,                0.89092,                 0.8901,                0.63832,                 1.0267,                0.66141,                 1.1925,              0.0013919,              0.0013919,              0.0013919
                     52,                0.81716,                0.58185,                0.98159,                0.59388,                0.86728,                0.60663,                0.41284,                 1.0583,                 1.2001,                 1.1922,              0.0013864,              0.0013864,              0.0013864
                     53,                0.80096,                0.57667,                0.98163,                 0.8635,                0.87049,                0.89726,                0.63734,                 1.0275,                0.68215,                 1.2015,              0.0013809,              0.0013809,              0.0013809
                     54,                0.82367,                0.57865,                0.98547,                0.82432,                0.89614,                0.88857,                0.63988,                 1.0389,                0.65349,                 1.1996,              0.0013754,              0.0013754,              0.0013754
                     55,                0.82673,                0.55963,                0.98377,                 0.8475,                0.87956,                0.87498,                0.63205,                0.99896,                0.70323,                 1.2217,              0.0013699,              0.0013699,              0.0013699
                     56,                0.83527,                0.57803,                  1.011,                0.81604,                0.84198,                0.85834,                0.61103,                 1.0652,                0.92481,                 1.2134,              0.0013644,              0.0013644,              0.0013644
                     57,                0.83166,                0.56672,                0.98622,                0.82245,                0.86187,                0.87779,                0.62366,                 1.0541,                0.72917,                 1.2254,              0.0013589,              0.0013589,              0.0013589
                     58,                0.84455,                0.57586,                0.99325,                0.83277,                0.86084,                0.87666,                0.63257,                 1.0325,                0.68288,                 1.2022,              0.0013534,              0.0013534,              0.0013534
                     59,                0.80504,                0.54574,                0.98395,                0.85952,                0.83984,                0.88883,                 0.6523,                 1.0169,                0.69006,                 1.2114,              0.0013479,              0.0013479,              0.0013479
                     60,                0.81223,                0.57092,                0.98802,                0.81825,                0.82681,                0.85224,                 0.6131,                 1.0664,                0.88206,                 1.2363,              0.0013424,              0.0013424,              0.0013424
                     61,                0.77119,                0.54636,                0.97171,                0.79422,                0.85938,                0.85398,                0.60564,                 1.0455,                0.81055,                  1.235,              0.0013369,              0.0013369,              0.0013369
                     62,                0.75353,                0.56586,                0.96376,                 0.8391,                0.84261,                0.87324,                 0.6079,                  1.062,                0.76413,                 1.2143,              0.0013314,              0.0013314,              0.0013314
                     63,                0.79012,                0.55245,                0.98461,                0.81671,                 0.8748,                0.88121,                0.64857,                0.96778,                0.72558,                 1.1819,              0.0013259,              0.0013259,              0.0013259
                     64,                 0.7885,                0.56927,                0.97578,                0.84201,                0.88942,                0.87989,                0.64172,                0.98082,                0.70815,                 1.1794,              0.0013204,              0.0013204,              0.0013204
                     65,                0.74894,                0.51609,                0.96247,                0.80798,                0.88404,                0.85678,                0.61426,                 1.0147,                0.82921,                 1.1988,              0.0013149,              0.0013149,              0.0013149
                     66,                0.76371,                0.54889,                0.96059,                0.84388,                0.88113,                 0.8955,                0.63156,                 1.0698,                0.69667,                 1.2352,              0.0013094,              0.0013094,              0.0013094
                     67,                 0.8363,                0.58021,                 1.0098,                0.83929,                0.89048,                0.90047,                0.65628,                 1.0079,                0.70991,                 1.1982,              0.0013039,              0.0013039,              0.0013039
                     68,                0.82719,                0.56287,                 1.0016,                0.82768,                0.87665,                0.88331,                0.64243,                 1.0264,                0.68276,                 1.2241,              0.0012984,              0.0012984,              0.0012984
                     69,                0.75264,                0.51318,                0.95329,                0.84812,                0.87545,                0.89113,                0.66267,                0.98513,                0.66638,                 1.2111,              0.0012929,              0.0012929,              0.0012929
                     70,                0.79446,                0.53691,                0.98621,                 0.8693,                0.83713,                0.88689,                  0.648,                0.99917,                 0.6894,                 1.2066,              0.0012874,              0.0012874,              0.0012874
                     71,                0.81701,                0.54585,                0.98491,                 0.8187,                0.87075,                0.88511,                0.62241,                 1.0633,                0.69332,                 1.2089,              0.0012819,              0.0012819,              0.0012819
                     72,                0.77288,                0.53936,                0.97194,                0.80557,                 0.8766,                0.87438,                0.65128,                 1.0036,                0.68259,                 1.1981,              0.0012764,              0.0012764,              0.0012764
                     73,                0.79091,                0.53213,                0.96135,                0.83645,                0.87056,                0.87931,                0.65055,                 1.0116,                0.68683,                 1.2266,              0.0012709,              0.0012709,              0.0012709
                     74,                0.78122,                0.51222,                0.98428,                0.85808,                0.87396,                0.89088,                0.65317,                0.98281,                0.66182,                 1.2094,              0.0012654,              0.0012654,              0.0012654
                     75,                 0.7192,                0.48855,                0.94399,                0.81812,                0.89953,                0.88588,                0.64944,                0.98615,                0.67875,                 1.2058,              0.0012599,              0.0012599,              0.0012599
                     76,                0.75196,                0.49551,                 0.9483,                0.80663,                0.91684,                0.88548,                  0.652,                0.99078,                 0.6844,                  1.196,              0.0012544,              0.0012544,              0.0012544
